name,wins,losses
Bulbasaur,0,0
Ivysaur,0,0
Venusaur,0,0
Charmander,0,0
Charmeleon,0,0
Charizard,8,0
Squirtle,0,0
Wartortle,0,0
Blastoise,0,0
Caterpie,0,0
Metapod,0,0
Butterfree,0,0
Weedle,0,0
Kakuna,0,0
Beedrill,0,0
Pidgey,0,0
Pidgeotto,0,0
Pidgeot,0,0
Rattata,0,0
Raticate,0,0
Spearow,0,0
Fearow,0,0
Ekans,0,0
Arbok,0,0
Pikachu,3,9
Raichu,0,1
Sandshrew,0,0
Sandslash,0,0
Nidoran♀,0,0
Nidorina,0,0
Nidoqueen,0,0
Nidoran♂,0,0
Nidorino,0,0
Nidoking,0,0
Clefairy,0,0
Clefable,0,0
Vulpix,0,0
Ninetales,0,0
Jigglypuff,0,0
Wigglytuff,0,0
Zubat,0,0
Golbat,0,0
Oddish,0,0
Gloom,0,0
Vileplume,0,0
Paras,0,0
Parasect,0,0
Venonat,0,0
Venomoth,0,0
Diglett,0,0
Dugtrio,0,0
Meowth,0,0
Persian,0,0
Psyduck,0,0
Golduck,0,0
Mankey,0,0
Primeape,0,0
Growlithe,0,0
Arcanine,0,0
Poliwag,0,0
Poliwhirl,0,0
Poliwrath,0,0
Abra,0,0
Kadabra,0,0
Alakazam,0,0
Machop,0,0
Machoke,0,0
Machamp,0,0
Bellsprout,0,0
Weepinbell,0,0
Victreebel,0,0
Tentacool,0,0
Tentacruel,0,0
Geodude,0,0
Graveler,0,0
Golem,0,0
Ponyta,0,0
Rapidash,0,0
Slowpoke,0,0
Slowbro,0,0
Magnemite,0,0
Magneton,0,0
Farfetch'd,0,0
Doduo,0,0
Dodrio,0,0
Seel,0,0
Dewgong,0,0
Grimer,0,0
Muk,0,0
Shellder,0,0
Cloyster,0,0
Gastly,0,1
Haunter,0,0
Gengar,0,0
Onix,0,0
Drowzee,0,0
Hypno,0,0
Krabby,0,0
Kingler,0,0
Voltorb,0,0
Electrode,0,0
Exeggcute,0,0
Exeggutor,0,0
Cubone,0,0
Marowak,0,0
Hitmonlee,0,0
Hitmonchan,0,0
Lickitung,0,0
Koffing,0,0
Weezing,0,0
Rhyhorn,0,0
Rhydon,0,0
Chansey,0,0
Tangela,0,0
Kangaskhan,0,0
Horsea,0,0
Seadra,0,0
Goldeen,0,0
Seaking,0,0
Staryu,0,0
Starmie,0,0
Mr. Mime,0,0
Scyther,0,0
Jynx,0,0
Electabuzz,0,0
Magmar,0,0
Pinsir,0,0
Tauros,0,0
Magikarp,0,0
Gyarados,0,0
Lapras,0,0
Ditto,0,0
